"","pathway"
"58","C2CP - BioCarta Ck1 Pathway"
"59","C2CP - BioCarta Classic Pathway"
"60","C2CP - BioCarta Comp Pathway"
"61","C2CP - BioCarta Cpsf Pathway"
"62","C2CP - BioCarta Creb Pathway"
"63","C2CP - BioCarta Crem Pathway"
"64","C2CP - BioCarta Csk Pathway"
"65","C2CP - BioCarta Ctbp1 Pathway"
"66","C2CP - BioCarta Ctcf Pathway"
"67","C2CP - BioCarta Ctl Pathway"
"68","C2CP - BioCarta Ctla4 Pathway"
"69","C2CP - BioCarta CXCR4 Pathway"
"70","C2CP - BioCarta Cytokine Pathway"
"71","C2CP - BioCarta D4gdi Pathway"
"72","C2CP - BioCarta Dc Pathway"
"73","C2CP - BioCarta Death Pathway"
"74","C2CP - BioCarta Dicer Pathway"
"75","C2CP - BioCarta DNAfragment Pathway"
"76","C2CP - BioCarta Dream Pathway"
"77","C2CP - BioCarta Dsp Pathway"
"78","C2CP - BioCarta ECM Pathway"
"79","C2CP - BioCarta Edg1 Pathway"
"80","C2CP - BioCarta Eea1 Pathway"
"81","C2CP - BioCarta Efp Pathway"
"82","C2CP - BioCarta Egf Pathway"
"83","C2CP - BioCarta Egfr Smrte Pathway"
"84","C2CP - BioCarta Eicosanoid Pathway"
"85","C2CP - BioCarta Eif Pathway"
"86","C2CP - BioCarta Eif2 Pathway"
"87","C2CP - BioCarta Eif4 Pathway"
"88","C2CP - BioCarta Eosinophils Pathway"
"89","C2CP - BioCarta Epha4 Pathway"
"90","C2CP - BioCarta Epo Pathway"
"91","C2CP - BioCarta Eponfkb Pathway"
"92","C2CP - BioCarta Erad Pathway"
"93","C2CP - BioCarta Erbb3 Pathway"
"94","C2CP - BioCarta Erbb4 Pathway"
"95","C2CP - BioCarta Erk Pathway"
"96","C2CP - BioCarta Erk5 Pathway"
"97","C2CP - BioCarta Eryth Pathway"
"98","C2CP - BioCarta Etc Pathway"
"99","C2CP - BioCarta Ets Pathway"
"100","C2CP - BioCarta Extrinsic Pathway"
"101","C2CP - BioCarta Fas Pathway"
"102","C2CP - BioCarta Fbw7 Pathway"
"103","C2CP - BioCarta Fcer1 Pathway"
"104","C2CP - BioCarta Feeder Pathway"
"105","C2CP - BioCarta Fibrinolysis Pathway"
"106","C2CP - BioCarta Flumazenil Pathway"
"107","C2CP - BioCarta Fmlp Pathway"
"108","C2CP - BioCarta Fosb Pathway"
"109","C2CP - BioCarta Free Pathway"
"110","C2CP - BioCarta Fxr Pathway"
"111","C2CP - BioCarta G1 Pathway"
"112","C2CP - BioCarta G2 Pathway"
"113","C2CP - BioCarta Gaba Pathway"
"114","C2CP - BioCarta Gata3 Pathway"
"115","C2CP - BioCarta Gcr Pathway"
"116","C2CP - BioCarta Gh Pathway"
"117","C2CP - BioCarta Ghrelin Pathway"
"118","C2CP - BioCarta Gleevec Pathway"
"119","C2CP - BioCarta Gpcr Pathway"
"120","C2CP - BioCarta Granulocytes Pathway"
"121","C2CP - BioCarta Gsk3 Pathway"
"122","C2CP - BioCarta Hbx Pathway"
"123","C2CP - BioCarta HCMv Pathway"
"124","C2CP - BioCarta Hdac Pathway"
"125","C2CP - BioCarta Her2 Pathway"
"126","C2CP - BioCarta Hes Pathway"
"127","C2CP - BioCarta Hif Pathway"
"128","C2CP - BioCarta Hivnef Pathway"
"129","C2CP - BioCarta Hsp27 Pathway"
"130","C2CP - BioCarta Hswi Snf Pathway"
"131","C2CP - BioCarta Ifna Pathway"
"132","C2CP - BioCarta Ifng Pathway"
"133","C2CP - BioCarta Igf1 Pathway"
"134","C2CP - BioCarta Igf1mtor Pathway"
"135","C2CP - BioCarta Igf1r Pathway"
"136","C2CP - BioCarta IL10 Pathway"
"137","C2CP - BioCarta IL12 Pathway"
"138","C2CP - BioCarta IL17 Pathway"
"139","C2CP - BioCarta IL1r Pathway"
"140","C2CP - BioCarta IL2 Pathway"
"141","C2CP - BioCarta IL22bp Pathway"
"142","C2CP - BioCarta IL2rb Pathway"
"143","C2CP - BioCarta IL3 Pathway"
"144","C2CP - BioCarta IL4 Pathway"
"145","C2CP - BioCarta IL5 Pathway"
"146","C2CP - BioCarta IL6 Pathway"
"147","C2CP - BioCarta IL7 Pathway"
"148","C2CP - BioCarta Inflam Pathway"
"149","C2CP - BioCarta Insulin Pathway"
"150","C2CP - BioCarta Integrin Pathway"
"151","C2CP - BioCarta Intrinsic Pathway"
"152","C2CP - BioCarta Ion Pathway"
"153","C2CP - BioCarta Ires Pathway"
"154","C2CP - BioCarta Keratinocyte Pathway"
"155","C2CP - BioCarta Kreb Pathway"
"156","C2CP - BioCarta Lair Pathway"
"157","C2CP - BioCarta Ldl Pathway"
"158","C2CP - BioCarta Lectin Pathway"
"159","C2CP - BioCarta Leptin Pathway"
"160","C2CP - BioCarta Lis1 Pathway"
"161","C2CP - BioCarta Longevity Pathway"
"162","C2CP - BioCarta Lym Pathway"
"163","C2CP - BioCarta Lymphocyte Pathway"
"164","C2CP - BioCarta Mal Pathway"
"165","C2CP - BioCarta Malatex Pathway"
"166","C2CP - BioCarta MAPK Pathway"
"167","C2CP - BioCarta Mcalpain Pathway"
"168","C2CP - BioCarta Mcm Pathway"
"169","C2CP - BioCarta Mef2d Pathway"
"170","C2CP - BioCarta Melanocyte Pathway"
"171","C2CP - BioCarta Met Pathway"
"172","C2CP - BioCarta MHC Pathway"
"173","C2CP - BioCarta Mitochondria Pathway"
"174","C2CP - BioCarta Mitr Pathway"
"175","C2CP - BioCarta Monocyte Pathway"
"176","C2CP - BioCarta Mpr Pathway"
"177","C2CP - BioCarta Mrp Pathway"
"178","C2CP - BioCarta Msp Pathway"
"179","C2CP - BioCarta Mta3 Pathway"
"180","C2CP - BioCarta Mtor Pathway"
"181","C2CP - BioCarta Myosin Pathway"
"182","C2CP - BioCarta Ndkdynamin Pathway"
"183","C2CP - BioCarta Neutrophil Pathway"
"184","C2CP - BioCarta Nfat Pathway"
"185","C2CP - BioCarta NFkB Pathway"
"186","C2CP - BioCarta Ngf Pathway"
"187","C2CP - BioCarta Nkcells Pathway"
"188","C2CP - BioCarta Nkt Pathway"
"189","C2CP - BioCarta No1 Pathway"
"190","C2CP - BioCarta No2il12 Pathway"
"191","C2CP - BioCarta Nos1 Pathway"
"192","C2CP - BioCarta Notch Pathway"
"193","C2CP - BioCarta Npc Pathway"
"194","C2CP - BioCarta Npp1 Pathway"
"195","C2CP - BioCarta Nthi Pathway"
"196","C2CP - BioCarta Nuclearrs Pathway"
"197","C2CP - BioCarta P27 Pathway"
"198","C2CP - BioCarta P35alzheimers Pathway"
"199","C2CP - BioCarta p38MAPK Pathway"
"200","C2CP - BioCarta P53 Pathway"
"201","C2CP - BioCarta P53hypoxia Pathway"
"202","C2CP - BioCarta Par1 Pathway"
"203","C2CP - BioCarta Parkin Pathway"
"204","C2CP - BioCarta Pcaf Pathway"
"205","C2CP - BioCarta Pdgf Pathway"
"206","C2CP - BioCarta Pdzs Pathway"
"207","C2CP - BioCarta Pelp1 Pathway"
"208","C2CP - BioCarta Pepi Pathway"
"209","C2CP - BioCarta Pgc1a Pathway"
"210","C2CP - BioCarta Pitx2 Pathway"
"211","C2CP - BioCarta Pkc Pathway"
"212","C2CP - BioCarta Plateletapp Pathway"
"213","C2CP - BioCarta PLC Pathway"
"214","C2CP - BioCarta PLCd Pathway"
"215","C2CP - BioCarta PLCe Pathway"
"216","C2CP - BioCarta Plk3 Pathway"
"217","C2CP - BioCarta Pml Pathway"
"218","C2CP - BioCarta Ppara Pathway"
"219","C2CP - BioCarta Pparg Pathway"
"220","C2CP - BioCarta PRC2 Pathway"
"221","C2CP - BioCarta Prion Pathway"
"222","C2CP - BioCarta Proteasome Pathway"
"223","C2CP - BioCarta Ps1 Pathway"
"224","C2CP - BioCarta Ptc1 Pathway"
"225","C2CP - BioCarta Ptdins Pathway"
"226","C2CP - BioCarta PTEN Pathway"
"227","C2CP - BioCarta Pyk2 Pathway"
"228","C2CP - BioCarta Rab Pathway"
"229","C2CP - BioCarta Rac1 Pathway"
"230","C2CP - BioCarta Racc Pathway"
"231","C2CP - BioCarta Raccycd Pathway"
"232","C2CP - BioCarta Ran Pathway"
"233","C2CP - BioCarta Ranbp2 Pathway"
"234","C2CP - BioCarta Rankl Pathway"
"235","C2CP - BioCarta Ranms Pathway"
"236","C2CP - BioCarta Rarrxr Pathway"
"237","C2CP - BioCarta Ras Pathway"
"238","C2CP - BioCarta Rb Pathway"
"239","C2CP - BioCarta Reck Pathway"
"240","C2CP - BioCarta Reelin Pathway"
"241","C2CP - BioCarta Rela Pathway"
"242","C2CP - BioCarta Rho Pathway"
"243","C2CP - BioCarta Rhodopsin Pathway"
"244","C2CP - BioCarta RNA Pathway"
"245","C2CP - BioCarta RNApol3 Pathway"
"246","C2CP - BioCarta S1p Pathway"
"247","C2CP - BioCarta Salmonella Pathway"
"248","C2CP - BioCarta Sam68 Pathway"
"249","C2CP - BioCarta Sars Pathway"
"250","C2CP - BioCarta Set Pathway"
"251","C2CP - BioCarta Shh Pathway"
"252","C2CP - BioCarta Skp2e2f Pathway"
"253","C2CP - BioCarta Slrp Pathway"
"254","C2CP - BioCarta Sm Pathway"
"255","C2CP - BioCarta Sodd Pathway"
"256","C2CP - BioCarta Sppa Pathway"
"257","C2CP - BioCarta Spry Pathway"
"258","C2CP - BioCarta Srcrptp Pathway"
"259","C2CP - BioCarta STAT3 Pathway"
"260","C2CP - BioCarta Stathmin Pathway"
"261","C2CP - BioCarta Stem Pathway"
"262","C2CP - BioCarta Stress Pathway"
"263","C2CP - BioCarta Sumo Pathway"
"264","C2CP - BioCarta Tall1 Pathway"
"265","C2CP - BioCarta Tcapoptosis Pathway"
"266","C2CP - BioCarta TCR Pathway"
"267","C2CP - BioCarta TCRa Pathway"
"268","C2CP - BioCarta Tcytotoxic Pathway"
"269","C2CP - BioCarta Tel Pathway"
"270","C2CP - BioCarta Terc Pathway"
"271","C2CP - BioCarta Tert Pathway"
"272","C2CP - BioCarta Tff Pathway"
"273","C2CP - BioCarta TGFb Pathway"
"274","C2CP - BioCarta Th1th2 Pathway"
"275","C2CP - BioCarta Thelper Pathway"
"276","C2CP - BioCarta Tid Pathway"
"277","C2CP - BioCarta TNFR1 Pathway"
"278","C2CP - BioCarta TNFR2 Pathway"
"279","C2CP - BioCarta Tob1 Pathway"
"280","C2CP - BioCarta Toll Pathway"
"281","C2CP - BioCarta Tpo Pathway"
"282","C2CP - BioCarta TRKA Pathway"
"283","C2CP - BioCarta TSP1 Pathway"
"284","C2CP - BioCarta Tubby Pathway"
"285","C2CP - BioCarta Ucalpain Pathway"
"286","C2CP - BioCarta Vdr Pathway"
"287","C2CP - BioCarta VEGF Pathway"
"288","C2CP - BioCarta Vip Pathway"
"289","C2CP - BioCarta Vitcb Pathway"
"290","C2CP - BioCarta Vobesity Pathway"
"291","C2CP - BioCarta Wnt Pathway"
"292","C2CP - BioCarta Wnt/LRP6 Pathway"
"293","C2CP - KEGG ABC Transporters"
"294","C2CP - KEGG Acute Myeloid Leukemia"
"295","C2CP - KEGG Adherens Junction"
"296","C2CP - KEGG Adipocytokine Signaling Pathway"
"297","C2CP - KEGG Alanine Aspartate and Glutamate Metabolism"
"298","C2CP - KEGG Aldosterone Regulated Sodium Reabsorption"
"299","C2CP - KEGG Allograft Rejection"
"300","C2CP - KEGG Alpha Linolenic Acid Metabolism"
"301","C2CP - KEGG Alzheimers Disease"
"302","C2CP - KEGG Amino Sugar and Nucleotide Sugar Metabolism"
"303","C2CP - KEGG Aminoacyl TRNA Biosynthesis"
"304","C2CP - KEGG Amyotrophic Lateral Sclerosis Als"
"305","C2CP - KEGG Antigen Processing and Presentation"
"306","C2CP - KEGG Apoptosis"
"307","C2CP - KEGG Arachidonic Acid Metabolism"
"308","C2CP - KEGG Arginine and Proline Metabolism"
"309","C2CP - KEGG Arrhythmogenic Right Ventricular Cardiomyopathy Arvc"
"310","C2CP - KEGG Ascorbate and Aldarate Metabolism"
"311","C2CP - KEGG Asthma"
"312","C2CP - KEGG Autoimmune Thyroid Disease"
"313","C2CP - KEGG Axon Guidance"
"314","C2CP - KEGG B Cell Receptor Signaling Pathway"
"315","C2CP - KEGG Basal Cell Carcinoma"
"316","C2CP - KEGG Basal Transcription Factors"
"317","C2CP - KEGG Base Excision Repair"
"318","C2CP - KEGG Beta Alanine Metabolism"
"319","C2CP - KEGG Biosynthesis of Unsaturated Fatty Acids"
"320","C2CP - KEGG Bladder Cancer"
"321","C2CP - KEGG Butanoate Metabolism"
"322","C2CP - KEGG Calcium Signaling Pathway"
"323","C2CP - KEGG Cardiac Muscle Contraction"
"324","C2CP - KEGG Cell Adhesion Molecules Cams"
"325","C2CP - KEGG Cell Cycle"
"326","C2CP - KEGG Chemokine Signaling Pathway"
"327","C2CP - KEGG Chronic Myeloid Leukemia"
"328","C2CP - KEGG Circadian Rhythm Mammal"
"329","C2CP - KEGG Citrate Cycle Tca Cycle"
"330","C2CP - KEGG Colorectal Cancer"
"331","C2CP - KEGG Complement and Coagulation Cascades"
"332","C2CP - KEGG Cysteine and Methionine Metabolism"
"333","C2CP - KEGG Cytokine Cytokine Receptor Interaction"
"334","C2CP - KEGG Cytosolic DNA Sensing Pathway"
"335","C2CP - KEGG Dilated Cardiomyopathy"
"336","C2CP - KEGG DNA Replication"
"337","C2CP - KEGG Dorso Ventral Axis Formation"
"338","C2CP - KEGG Drug Metabolism Cytochrome P450"
"339","C2CP - KEGG Drug Metabolism Other Enzymes"
"340","C2CP - KEGG ECM Receptor Interaction"
"341","C2CP - KEGG Endocytosis"
"342","C2CP - KEGG Endometrial Cancer"
"343","C2CP - KEGG Epithelial Cell Signaling in Helicobacter Pylori Infection"
"344","C2CP - KEGG Erbb Signaling Pathway"
"345","C2CP - KEGG Ether Lipid Metabolism"
"346","C2CP - KEGG Fatty Acid Metabolism"
"347","C2CP - KEGG Fc Epsilon Ri Signaling Pathway"
"348","C2CP - KEGG Fc Gamma R Mediated Phagocytosis"
"349","C2CP - KEGG Focal Adhesion"
"350","C2CP - KEGG Folate Biosynthesis"
"351","C2CP - KEGG Fructose and Mannose Metabolism"
"352","C2CP - KEGG Galactose Metabolism"
"353","C2CP - KEGG Gap Junction"
"354","C2CP - KEGG Glioma"
"355","C2CP - KEGG Glutathione Metabolism"
"356","C2CP - KEGG Glycerolipid Metabolism"
"357","C2CP - KEGG Glycerophospholipid Metabolism"
"358","C2CP - KEGG Glycine Serine and Threonine Metabolism"
"359","C2CP - KEGG Glycolysis Gluconeogenesis"
"360","C2CP - KEGG Glycosaminoglycan Biosynthesis Chondroitin Sulfate"
"361","C2CP - KEGG Glycosaminoglycan Biosynthesis Heparan Sulfate"
"362","C2CP - KEGG Glycosaminoglycan Biosynthesis Keratan Sulfate"
"363","C2CP - KEGG Glycosaminoglycan Degradation"
"364","C2CP - KEGG Glycosphingolipid Biosynthesis Ganglio Series"
"365","C2CP - KEGG Glycosphingolipid Biosynthesis Globo Series"
"366","C2CP - KEGG Glycosphingolipid Biosynthesis Lacto and Neolacto Series"
"367","C2CP - KEGG Glycosylphosphatidylinositol Gpi Anchor Biosynthesis"
"368","C2CP - KEGG Glyoxylate and Dicarboxylate Metabolism"
"369","C2CP - KEGG Gnrh Signaling Pathway"
"370","C2CP - KEGG Graft Versus Host Disease"
"371","C2CP - KEGG Hedgehog Signaling Pathway"
"372","C2CP - KEGG Hematopoietic Cell Lineage"
"373","C2CP - KEGG Histidine Metabolism"
"374","C2CP - KEGG Homologous Recombination"
"375","C2CP - KEGG Huntingtons Disease"
"376","C2CP - KEGG Hypertrophic Cardiomyopathy HCM"
"377","C2CP - KEGG Inositol Phosphate Metabolism"
"378","C2CP - KEGG Insulin Signaling Pathway"
"379","C2CP - KEGG Intestinal Immune Network for Iga Production"
"380","C2CP - KEGG Jak Stat Signaling Pathway"
"381","C2CP - KEGG Leishmania Infection"
"382","C2CP - KEGG Leukocyte Transendothelial Migration"
"383","C2CP - KEGG Limonene and Pinene Degradation"
"384","C2CP - KEGG Linoleic Acid Metabolism"
"385","C2CP - KEGG Long Term Depression"
"386","C2CP - KEGG Long Term Potentiation"
"387","C2CP - KEGG Lysine Degradation"
"388","C2CP - KEGG Lysosome"
"389","C2CP - KEGG MAPK Signaling Pathway"
"390","C2CP - KEGG Maturity Onset Diabetes of the Young"
"391","C2CP - KEGG Melanogenesis"
"392","C2CP - KEGG Melanoma"
"393","C2CP - KEGG Metabolism of Xenobiotics by Cytochrome P450"
"394","C2CP - KEGG Mismatch Repair"
"395","C2CP - KEGG Mtor Signaling Pathway"
"396","C2CP - KEGG N Glycan Biosynthesis"
"397","C2CP - KEGG Natural Killer Cell Mediated Cytotoxicity"
"398","C2CP - KEGG Neuroactive Ligand Receptor Interaction"
"399","C2CP - KEGG Neurotrophin Signaling Pathway"
"400","C2CP - KEGG Nicotinate and Nicotinamide Metabolism"
"401","C2CP - KEGG Nitrogen Metabolism"
"402","C2CP - KEGG Nod Like Receptor Signaling Pathway"
"403","C2CP - KEGG Non Homologous End Joining"
"404","C2CP - KEGG Non Small Cell Lung Cancer"
"405","C2CP - KEGG Notch Signaling Pathway"
"406","C2CP - KEGG Nucleotide Excision Repair"
"407","C2CP - KEGG O Glycan Biosynthesis"
"408","C2CP - KEGG Olfactory Transduction"
"409","C2CP - KEGG One Carbon Pool by Folate"
"410","C2CP - KEGG Oocyte Meiosis"
"411","C2CP - KEGG Other Glycan Degradation"
"412","C2CP - KEGG Oxidative Phosphorylation"
"413","C2CP - KEGG P53 Signaling Pathway"
"414","C2CP - KEGG Pancreatic Cancer"
"415","C2CP - KEGG Pantothenate and Coa Biosynthesis"
"416","C2CP - KEGG Parkinsons Disease"
"417","C2CP - KEGG Pathogenic Escherichia Coli Infection"
"418","C2CP - KEGG Pathways in Cancer"
"419","C2CP - KEGG Pentose and Glucuronate Interconversions"
"420","C2CP - KEGG Pentose Phosphate Pathway"
"421","C2CP - KEGG Peroxisome"
"422","C2CP - KEGG Phenylalanine Metabolism"
"423","C2CP - KEGG Phosphatidylinositol Signaling System"
"424","C2CP - KEGG Porphyrin and Chlorophyll Metabolism"
"425","C2CP - KEGG Ppar Signaling Pathway"
"426","C2CP - KEGG Primary Bile Acid Biosynthesis"
"427","C2CP - KEGG Primary Immunodeficiency"
"428","C2CP - KEGG Prion Diseases"
"429","C2CP - KEGG Progesterone Mediated Oocyte Maturation"
"430","C2CP - KEGG Propanoate Metabolism"
"431","C2CP - KEGG Prostate Cancer"
"432","C2CP - KEGG Proteasome"
"433","C2CP - KEGG Protein Export"
"434","C2CP - KEGG Proximal Tubule Bicarbonate Reclamation"
"435","C2CP - KEGG Purine Metabolism"
"436","C2CP - KEGG Pyrimidine Metabolism"
"437","C2CP - KEGG Pyruvate Metabolism"
"438","C2CP - KEGG Regulation of Actin Cytoskeleton"
"439","C2CP - KEGG Regulation of Autophagy"
"440","C2CP - KEGG Renal Cell Carcinoma"
"441","C2CP - KEGG Renin Angiotensin System"
"442","C2CP - KEGG Retinol Metabolism"
"443","C2CP - KEGG Riboflavin Metabolism"
"444","C2CP - KEGG Ribosome"
"445","C2CP - KEGG Rig I Like Receptor Signaling Pathway"
"446","C2CP - KEGG RNA Degradation"
"447","C2CP - KEGG RNA Polymerase"
"448","C2CP - KEGG Selenoamino Acid Metabolism"
"449","C2CP - KEGG Small Cell Lung Cancer"
"450","C2CP - KEGG Snare Interactions in Vesicular Transport"
"451","C2CP - KEGG Sphingolipid Metabolism"
"452","C2CP - KEGG Spliceosome"
"453","C2CP - KEGG Starch and Sucrose Metabolism"
"454","C2CP - KEGG Steroid Biosynthesis"
"455","C2CP - KEGG Steroid Hormone Biosynthesis"
"456","C2CP - KEGG Sulfur Metabolism"
"457","C2CP - KEGG Systemic Lupus Erythematosus"
"458","C2CP - KEGG T Cell Receptor Signaling Pathway"
"459","C2CP - KEGG Taste Transduction"
"460","C2CP - KEGG Taurine and Hypotaurine Metabolism"
"461","C2CP - KEGG Terpenoid Backbone Biosynthesis"
"462","C2CP - KEGG TGF-beta Signaling Pathway"
"463","C2CP - KEGG Thyroid Cancer"
"464","C2CP - KEGG Tight Junction"
"465","C2CP - KEGG Toll Like Receptor Signaling Pathway"
"466","C2CP - KEGG Tryptophan Metabolism"
"467","C2CP - KEGG Type I Diabetes Mellitus"
"468","C2CP - KEGG Type II Diabetes Mellitus"
"469","C2CP - KEGG Tyrosine Metabolism"
"470","C2CP - KEGG Ubiquitin Mediated Proteolysis"
"471","C2CP - KEGG Valine Leucine and Isoleucine Biosynthesis"
"472","C2CP - KEGG Valine Leucine and Isoleucine Degradation"
"473","C2CP - KEGG Vascular Smooth Muscle Contraction"
"474","C2CP - KEGG Vasopressin Regulated Water Reabsorption"
"475","C2CP - KEGG VEGF Signaling Pathway"
"476","C2CP - KEGG Vibrio Cholerae Infection"
"477","C2CP - KEGG Viral Myocarditis"
"478","C2CP - KEGG Wnt Signaling Pathway"
"479","C2CP - Naba Basement Membranes"
"480","C2CP - Naba Collagens"
"481","C2CP - Naba Core Matrisome"
"482","C2CP - Naba ECM Affiliated"
"483","C2CP - Naba ECM Glycoproteins"
"484","C2CP - Naba ECM Regulators"
"485","C2CP - Naba Matrisome"
"486","C2CP - Naba Matrisome Associated"
"487","C2CP - Naba Proteoglycans"
"488","C2CP - Naba Secreted Factors"
"489","C2CP - PID A6b1 A6b4 Integrin Pathway"
"490","C2CP - PID Ajdiss 2pathway"
"491","C2CP - PID Alk1 Pathway"
"492","C2CP - PID Alk2 Pathway"
"493","C2CP - PID Alpha Synuclein Pathway"
"494","C2CP - PID Amb2 Neutrophils Pathway"
"495","C2CP - PID Angiopoietin Receptor Pathway"
"496","C2CP - PID Anthrax Pathway"
"497","C2CP - PID Ap1 Pathway"
"498","C2CP - PID Ar Nongenomic Pathway"
"499","C2CP - PID Ar Pathway"
"500","C2CP - PID Ar Tf Pathway"
"501","C2CP - PID Arf 3pathway"
"502","C2CP - PID Arf6 Downstream Pathway"
"503","C2CP - PID Arf6 Pathway"
"504","C2CP - PID Arf6 Trafficking Pathway"
"505","C2CP - PID Atf2 Pathway"
"506","C2CP - PID Atm Pathway"
"507","C2CP - PID Atr Pathway"
"508","C2CP - PID Aurora A Pathway"
"509","C2CP - PID Aurora B Pathway"
"510","C2CP - PID Avb3 Integrin Pathway"
"511","C2CP - PID Avb3 Opn Pathway"
"512","C2CP - PID Bard1 Pathway"
"513","C2CP - PID BCR 5pathway"
"514","C2CP - PID Beta Catenin Deg Pathway"
"515","C2CP - PID Beta Catenin Nuc Pathway"
"516","C2CP - PID Bmp Pathway"
"517","C2CP - PID Caspase Pathway"
"518","C2CP - PID CD40 Pathway"
"519","C2CP - PID Cd8 TCR Downstream Pathway"
"520","C2CP - PID Cd8 TCR Pathway"
"521","C2CP - PID CDC42 Pathway"
"522","C2CP - PID CDC42 Reg Pathway"
"523","C2CP - PID Ceramide Pathway"
"524","C2CP - PID Circadian Pathway"
"525","C2CP - PID Cmyb Pathway"
"526","C2CP - PID Cone Pathway"
"527","C2CP - PID CXCR3 Pathway"
"528","C2CP - PID CXCR4 Pathway"
"529","C2CP - PID Delta Np63 Pathway"
"530","C2CP - PID DNA Pk Pathway"
"531","C2CP - PID E2F Pathway"
"532","C2CP - PID Ecadherin Keratinocyte Pathway"
"533","C2CP - PID Ecadherin Nascent Aj Pathway"
"534","C2CP - PID Ecadherin Stabilization Pathway"
"535","C2CP - PID Endothelin Pathway"
"536","C2CP - PID Epha Fwdpathway"
"537","C2CP - PID Epha2 Fwd Pathway"
"538","C2CP - PID Ephb Fwd Pathway"
"539","C2CP - PID Ephrinb Rev Pathway"
"540","C2CP - PID Epo Pathway"
"541","C2CP - PID Er Nongenomic Pathway"
"542","C2CP - PID Era Genomic Pathway"
"543","C2CP - PID Erb Genomic Pathway"
"544","C2CP - PID Erbb Network Pathway"
"545","C2CP - PID Erbb1 Downstream Pathway"
"546","C2CP - PID Erbb1 InteRNAlization Pathway"
"547","C2CP - PID Erbb1 Receptor Proximal Pathway"
"548","C2CP - PID Erbb2 Erbb3 Pathway"
"549","C2CP - PID Erbb4 Pathway"
"550","C2CP - PID Fak Pathway"
"551","C2CP - PID Fanconi Pathway"
"552","C2CP - PID Fas Pathway"
"553","C2CP - PID Fcer1 Pathway"
"554","C2CP - PID Fgf Pathway"
"555","C2CP - PID Foxm1 Pathway"
"556","C2CP - PID Foxo Pathway"
"557","C2CP - PID Fra Pathway"
"558","C2CP - PID Glypican 1pathway"
"559","C2CP - PID Gmcsf Pathway"
"560","C2CP - PID Hdac Classi Pathway"
"561","C2CP - PID Hdac Classii Pathway"
"562","C2CP - PID Hdac Classiii Pathway"
"563","C2CP - PID Hedgehog 2pathway"
"564","C2CP - PID Hedgehog Gli Pathway"
"565","C2CP - PID Hes Hey Pathway"
"566","C2CP - PID Hif1 Tfpathway"
"567","C2CP - PID Hif1a Pathway"
"568","C2CP - PID Hif2pathway"
"569","C2CP - PID Hiv Nef Pathway"
"570","C2CP - PID Hnf3a Pathway"
